,name,price,square,num_of_room,poverh
176,,269 000 $,179 м²,1,2
177,,1 200 000 $,200 м²,4,17
178,,49 900 $,27 м²,1,3
179,,208 817 $,91 м²,2,12
180,,168 000 $,47 м²,1,2
181,,115 000 $,55 м²,2,8
182,,71 500 $,66 м²,2,10
183,,120 000 $,45 м²,1,8
184,,147 000 $,80 м²,2,6
185,,240 000 $,97 м²,3,12
186,,82 000 $,46 м²,1,7
187,,170 000 $,48 м²,2,6
188,,365 000 $,115 м²,2,9
189,,158 000 $,120 м²,4,14
190,,120 000 $,84 м²,2,8
191,,340 000 $,125 м²,3,16
192,,105 000 $,52 м²,2,2
193,,179 000 $,82 м²,2,22
194,,144 000 $,74 м²,3,8
195,,145 000 $,69 м²,1,10
196,,450 000 $,98 м²,2,21
197,,210 000 $,44 м²,2,4
198,,225 000 $,87 м²,3,22
199,,108 000 $,52 м²,1,15
200,,1 450 000 $,200 м²,4,5
201,,415 000 $,165 м²,4,11
202,,184 000 $,55 м²,2,6
203,,170 000 $,50 м²,3,6
204,,560 000 $,110 м²,3,20
205,,97 000 $,47 м²,1,16
206,,75 000 $,44 м²,1,3
207,,158 000 $,100 м²,3,2
208,,113 400 $,48 м²,1,11
209,,88 888 $,48 м²,1,4
210,,149 000 $,45 м²,1,4
211,,136 000 $,59 м²,1,5
212,,189 000 $,99 м²,3,3
213,,196 500 $,87 м²,3,26
214,,200 000 $,156 м²,4,7
215,,315 000 $,215 м²,5,6
216,,350 000 $,176 м²,4,17
217,,280 000 $,70 м²,2,8
218,,115 000 $,35 м²,1,30
219,,224 066 $,97 м²,2,5
220,,250 000 $,128 м²,2,14
221,,150 000 $,96 м²,3,11
222,,110 000 $,32 м²,1,3
223,,155 000 $,71 м²,2,13
224,,135 000 $,62 м²,2,20
225,,437 000 $,154 м²,4,36
226,,550 000 $,295 м²,5,15
227,,325 000 $,130 м²,2,5
228,,1 200 000 $,320 м²,3,8
229,,223 000 $,141 м²,4,24
230,,82 000 $,45 м²,1,7
231,,190 000 $,47 м²,1,5
232,,107 800 $,49 м²,1,7
233,,105 000 $,54 м²,1,26
234,,108 000 $,52 м²,1,15
235,,175 560 $,80 м²,3,3
236,,115 000 $,70 м²,2,14
237,,102 000 $,65 м²,2,8
238,,360 000 $,131 м²,3,9
239,,215 000 $,79 м²,3,8
240,,370 000 $,197 м²,3,21
241,,340 000 $,121 м²,3,5
242,,550 000 $,293 м²,5,4
243,,680 000 $,171 м²,4,6
244,,250 000 $,87 м²,3,2
245,,400 000 $,198 м²,4,8
246,,300 000 $,98 м²,3,6
247,,219 500 $,89 м²,2,15
248,,199 000 $,105 м²,3,2
249,,883 998 $,200 м²,4,5
250,,119 000 $,46 м²,1,8
251,,220 000 $,98 м²,2,Цокольний
252,,225 000 $,96 м²,2,14
253,,177 500 $,79 м²,2,27
254,,225 000 $,96 м²,2,14
255,,160 000 $,54 м²,2,14
256,,580 000 $,141 м²,3,3
257,,355 000 $,85 м²,3,7
258,,115 000 $,55 м²,2,8
259,,80 000 $,35 м²,1,2
260,,162 000 $,125 м²,4,23
261,,750 000 $,150 м²,3,4
262,,235 000 $,82 м²,2,9
263,,195 000 $,83 м²,2,6
264,,102 000 $,68 м²,2,22
265,,342 000 $,122 м²,3,8
266,,531 000 $,177 м²,3,21
267,,100 000 $,77 м²,2,4
268,,415 000 $,165 м²,4,9
269,,380 000 $,135 м²,3,36
270,,267 000 $,102 м²,2,2
271,,85 000 $,50 м²,1,15
272,,180 000 $,59 м²,1,7
273,,174 500 $,80 м²,3,9
274,,580 000 $,145 м²,3,8
275,,590 000 $,208 м²,5,22
276,,810 000 $,232 м²,4,10
277,,880 000 $,212 м²,4,8
278,,335 000 $,108 м²,4,4
279,,97 000 $,33 м²,1,12
280,,320 000 $,132 м²,3,16
281,,650 000 $,325 м²,5,4
282,,255 000 $,125 м²,3,9
283,,450 000 $,196 м²,4,13
284,,105 000 $,54 м²,1,26
285,,108 000 $,63 м²,1,9
286,,145 000 $,69 м²,2,10
287,,340 000 $,121 м²,3,5
288,,360 000 $,222 м²,3,12
289,,93 000 $,38 м²,1,4
290,,195 000 $,54 м²,2,2
291,,299 000 $,82 м²,2,16
292,,226 975 $,91 м²,2,12
293,,248 500 $,82 м²,2,19
294,,115 000 $,41 м²,1,2
295,,129 900 $,83 м²,3,16
296,,105 000 $,49 м²,1,21
297,,106 800 $,49 м²,1,18
298,,235 000 $,75 м²,3,3
299,,180 900 $,59 м²,2,7
300,,248 500 $,83 м²,2,19
301,,300 000 $,165 м²,3,5
302,,180 000 $,84 м²,3,3
303,,105 000 $,49 м²,1,21
304,,200 000 $,118 м²,3,10
305,,83 000 $,72 м²,3,16
306,,531 000 $,177 м²,3,21
307,,210 000 $,85 м²,1,5
308,,173 000 $,69 м²,2,7
309,,152 000 $,95 м²,1,13
310,,110 000 $,42 м²,2,12
311,,234 000 $,90 м²,1,7
312,,330 000 $,99 м²,2,19
313,,105 000 $,53 м²,2,3
314,,465 000 $,112 м²,3,Цокольний
315,,89 000 $,45 м²,2,2
316,,650 000 $,105 м²,3,3
317,,73 500 $,51 м²,5,4
318,,215 000 $,112 м²,4,1
319,,200 000 $,101 м²,3,19
320,,340 000 $,160 м²,4,16
321,,176 000 $,78 м²,1,30
322,,180 000 $,55 м²,2,1
323,,255 000 $,94 м²,2,6
324,,200 000 $,85 м²,2,4
325,,280 000 $,70 м²,2,8
326,,169 000 $,109 м²,3,13
327,,130 000 $,78 м²,2,22
328,,159 000 $,74 м²,2,13
329,,310 000 $,82 м²,2,9
330,,161 500 $,63 м²,1,18
331,,227 000 $,89 м²,2,18
